cryId,reco,true,Residual
379,1.08975,1.11589,-0.0261378
380,1.06674,1.10092,-0.0341818
381,1.12167,1.14215,-0.0204771
382,0.857933,0.874094,-0.0161604
383,1.0626,1.09548,-0.0328831
384,0.985831,1.01546,-0.0296307
385,0.796426,0.84349,-0.0470641
386,1.20899,1.26759,-0.0585956
387,0.727582,0.759303,-0.031721
388,0.743817,0.751895,-0.00807797
389,0.964768,1.00891,-0.0441385
390,1.07005,1.06547,0.00457819
391,1.0345,1.089,-0.0545028
392,0.806148,0.797966,0.00818224
393,0.802644,0.819469,-0.0168252
394,1.06883,1.09515,-0.0263125
395,0.864299,0.868421,-0.00412219
396,0.765983,0.793549,-0.027566
397,1.1166,1.181,-0.0643987
398,1.10501,1.1404,-0.0353852
399,0.889393,0.883633,0.00576006
400,0.843918,0.887072,-0.0431544
401,1.14632,1.18278,-0.0364573
402,1.26217,1.27074,-0.00856793
403,0.797175,0.885162,-0.0879872
404,1.10595,1.10152,0.00443485
405,0.832409,0.946191,-0.113782
406,0.635784,0.65872,-0.022936
407,1.02781,1.0907,-0.0628918
408,0.654138,0.806758,-0.15262
409,0.861039,1.07351,-0.21247
410,0.503117,0.615637,-0.11252
411,1.34537,1.44058,-0.0952082
412,0.96496,1.0461,-0.0811376
413,0.935126,0.95733,-0.0222042
414,0.902334,0.97,-0.0676662
415,1.03292,0.995575,0.0373495
416,0.904081,1.11756,-0.213481
417,0.866317,0.881477,-0.0151604
418,0.878262,0.878637,-0.00037475
419,0.958712,1.14017,-0.181458
420,0.826203,1.00237,-0.176167
421,1.08504,1.3554,-0.270353
422,0.993558,1.23405,-0.240489
423,0.667822,0.67598,-0.0081577
424,1.36866,1.34275,0.0259102
425,0.948552,0.965473,-0.0169212
426,0.915624,0.922435,-0.00681019
427,0.983484,0.997864,-0.01438
428,0.892696,0.945406,-0.0527104
429,0.75101,0.780293,-0.0292837
430,0.815739,0.835869,-0.02013
431,0.590248,0.649115,-0.0588678
432,0.921001,0.941248,-0.0202469
433,0.876427,0.880126,-0.00369923
434,0.623375,0.6649,-0.0415256
435,0.891018,0.935375,-0.0443564
436,1.22674,1.26407,-0.0373263
437,0.727035,0.7806,-0.0535647
438,0.950246,0.962817,-0.0125715
439,0.793079,0.823575,-0.0304964
440,1.05821,1.10371,-0.0455019
