0,10.343,30.2454,40.5884,284.438,3.14159,850.745,2,333.392,2.89077,1.65812,27.7253,25.2052,34.3,0.734846,15.1227
1,6.92771,37.2872,44.2149,335.062,0.519512,5517.86,4,322.728,-2.85108,1.17224,22.2546,21.0994,61.8352,0.341219,9.3218
0,17.7162,29.6764,47.3926,210.062,0.0680046,5625.61,4,333.535,0.880467,2.37039,22.7462,20.6912,85.75,0.241297,7.41911
0,10.0466,33.98,44.0266,112.562,1.81578,27834.1,2,327.286,-2.16321,1.72697,20.9985,8.01697,141.423,0.0566881,16.99
0,18.3589,23.6419,42.0008,18.8125,-nan,1.16415e-10,1,343.701,3.03495,0.957308,23.6419,0,0,-nan,23.6419
0,11.4635,35.6892,47.1528,344.438,0.483008,6549.56,4,326.107,2.357,1.14434,17.3258,16.1144,153.394,0.105052,8.9223
1,7.52475,41.8629,49.3877,336.938,2.85181,2629.16,3,250.12,-0.438688,0.509386,33.2114,30.3948,48.5075,0.6266,13.9543
0,27.3957,14.8257,42.2214,72.5625,1.5708,0,1,335.019,1.61938,1.08252,14.8257,0,0,-nan,14.8257
0,24.6053,19.0229,43.6282,244.438,2.03444,1616.85,2,339.356,-2.47458,1.12309,11.7352,4.44745,38.3486,0.115974,9.51143
0,10.8075,34.6335,45.4411,241.312,2.61788,18782.1,3,284.857,2.79335,0.888612,15.4168,7.21669,123.67,0.0583542,11.5445
0,11.9626,36.7109,48.6735,306.938,0.670319,24253,4,286.122,1.47264,1.14409,12.7447,8.91799,158.115,0.0564018,9.17772
1,5.89954,35.5066,41.4062,149.438,0.555846,31690.4,5,268.135,-1.22504,0.807747,24.7322,23.1104,185.506,0.12458,7.10132
1,5.15241,36.4746,41.627,318.188,2.64779,29405.1,4,324.085,-2.52917,0.67253,14.0948,6.99827,153.394,0.0456227,9.11865
1,4.49436,45.4625,49.9568,165.062,0.0469905,3729.69,4,316.131,2.38196,1.30882,18.1588,17.0454,61.8352,0.275658,11.3656
0,14.6939,34.2595,48.9534,357.562,0.00266163,5329.24,5,308.812,2.20097,1.31989,25.8548,24.8169,141.423,0.17548,6.85191
1,3.97175,41.0795,45.0513,190.062,2.46789,23133.5,6,328.776,0.851476,1.39081,15.5365,14.4788,208.639,0.0693964,6.84658
1,9.24269,35.4967,44.7394,289.438,3.12877,9796.94,5,303.619,2.59582,0.891419,23.6633,22.4866,108.466,0.207314,7.09934
1,7.23562,41.6942,48.9299,295.062,2.87884,16814.3,9,324.328,-3.01083,0.587459,16.5484,15.469,230.091,0.0672299,4.63269
0,15.8307,34.0441,49.8748,310.688,0.550411,11959.6,5,321.826,-2.00084,1.01163,24.2858,22.9559,145.523,0.157748,6.80882
1,3.79863,37.2591,41.0578,176.938,2.55359,5532.09,2,305.057,-0.532644,0.864833,22.1679,7.07668,61.8352,0.114444,18.6296
1,4.06707,42.5509,46.6179,301.312,3.1244,2745.73,3,323.445,-2.18642,0.492064,23.4487,20.752,48.5075,0.42781,14.1836
1,4.03071,39.065,43.0958,341.312,2.80009,16489.2,6,346.741,0.954376,2.78836,19.5157,18.2568,158.115,0.115465,6.51084
1,3.16827,45.1638,48.3321,493.188,0.855582,797.925,3,277.055,2.37854,1.46647,42.5696,41.4942,61.8352,0.671044,15.0546
