event,run,cluster_size
14077,1002,5,39.4246
14142,1002,3,37.3249
14198,1002,2,29.6032
14235,1002,2,38.2736
14300,1002,3,36.5032
14372,1002,4,45.4364
14373,1002,4,45.5721
14437,1002,5,31.5726
14518,1002,7,36.8374
14546,1002,4,36.6711
14699,1002,1,37.5773
14825,1002,4,30.9263
14881,1002,2,25.0609
14896,1002,5,36.5491
14898,1002,4,38.955
14901,1002,4,37.1349
14911,1002,4,31.5295
14926,1002,7,35.1938
14956,1002,4,43.3026
14994,1002,5,42.8456
15004,1002,3,35.1474
15178,1002,7,39.6758
15313,1002,6,37.2709
15330,1002,9,45.1991
15369,1002,5,38.9908
15501,1002,5,39.9871
15537,1002,7,43.952
15727,1002,4,34.1955
15858,1002,4,34.9527
15859,1002,4,22.8753
15914,1002,4,27.6786
15914,1002,4,10.4445
16095,1002,3,36.9537
16140,1002,3,32.8139
16337,1002,1,32.0266
16412,1002,4,31.375
16522,1002,5,35.7196
16540,1002,5,39.1664
16545,1002,5,39.9549
16579,1002,5,26.9323
16618,1002,4,38.4965
16664,1002,3,37.9015
16775,1002,3,30.2935
16883,1002,4,47.7021
17004,1002,4,41.618
17031,1002,2,14.5096
17064,1002,3,35.4686
17123,1002,3,40.9425
17130,1002,4,30.1698
17136,1002,8,44.9631
17206,1002,5,38.957
17212,1002,4,40.9206
17225,1002,7,41.8561
17261,1002,4,34.1815
17377,1002,3,34.2899
17386,1002,6,41.2387
17410,1002,2,41.4447
17428,1002,3,30.2659
17477,1002,5,38.0588
17501,1002,3,35.6949
17577,1002,6,35.6948
17622,1002,5,34.2338
17629,1002,5,31.7889
17644,1002,2,33.1496
17708,1002,6,41.2607
17729,1002,3,37.3487
17895,1002,3,36.7932
17902,1002,7,34.814
17921,1002,4,41.8584
17953,1002,5,36.085
17962,1002,5,25.0945
18041,1002,4,33.7778
18060,1002,4,25.6773
18124,1002,6,41.1991
18128,1002,6,37.9816
18182,1002,4,37.2588
18658,1002,4,36.463
18780,1002,6,43.0585
18807,1002,8,41.8102
18855,1002,8,29.818
19023,1002,5,20.4405
19048,1002,6,36.4218
19098,1002,9,40.1096
19210,1002,4,31.2016
19233,1002,4,43.5832
19254,1002,7,46.7896
19276,1002,2,36.0823
19378,1002,4,36.1202
19643,1002,8,37.5335
19712,1002,3,36.5097
19753,1002,4,35.5604
19813,1002,6,38.784
19862,1002,3,40.249
19880,1002,4,43.1441
19918,1002,8,44.7177
19921,1002,5,44.1515
19941,1002,4,27.8639
19982,1002,3,39.5276
20032,1002,8,39.5304
20074,1002,3,36.069
20096,1002,2,35.9776
20137,1002,3,40.1294
20140,1002,2,37.4109
20159,1002,2,36.463
20257,1002,4,37.892
20413,1002,3,33.735
20479,1002,4,30.2579
20658,1002,5,35.681
20715,1002,3,37.417
20717,1002,5,37.6929
20798,1002,4,34.7178
20875,1002,11,41.5795
20899,1002,9,47.7814
20923,1002,3,18.2775
21067,1002,2,36.1536
21092,1002,3,42.2309
21099,1002,1,15.9744
21158,1002,6,39.7782
21159,1002,3,36.7239
21171,1002,2,26.3144
21223,1002,5,44.4302
21239,1002,5,33.6139
21287,1002,3,28.7178
21323,1002,5,27.0285
21335,1002,6,42.383
21357,1002,7,38.7008
21369,1002,4,36.334
21388,1002,4,13.5765
21436,1002,5,34.5697
21440,1002,6,44.0841
21604,1002,4,36.6761
21739,1002,5,37.9779
21750,1002,4,39.2637
21766,1002,7,42.8789
21812,1002,5,40.3403
21918,1002,6,33.1972
21954,1002,7,45.311
22072,1002,5,37.8265
22136,1002,4,38.1148
22283,1002,6,29.1973
22364,1002,6,40.9819
22501,1002,6,38.6916
22502,1002,4,39.2908
22536,1002,4,43.3473
22556,1002,5,25.0248
22559,1002,4,39.1415
22588,1002,3,15.6081
22662,1002,2,22.5146
22718,1002,5,36.3616
22749,1002,4,40.0541
22816,1002,11,35.3605
